LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_QC_49936_b.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PC 16:1_20:3,PC,840.5771663777455,,C46 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,30794.9,52237.8,0.0,33022.0,31321.1,40841.6,25929.0,47290.8,0.0,28779.5,51107.8,35239.1,MS2,FragmentA and FragmentB,[PC 16:1_20:3 +CH3COO]-,FA 16:1 (+O),FA 20:3 (+O),,1951068.2,2294005.8,0.0,1884841.8,2215393.8,2021660.9,1833034.7,1893548.0,0.0,2187325.0,2164462.4,2135958.0,50713.8,75764.8,0.0,46837.6,44043.9,65810.4,40960.2,78598.2,0.0,42485.8,78659.1,58387.1,10876.1,28710.8,0.0,19206.3,18598.2,15872.8,10897.9,15983.5,0.0,15073.2,23556.6,12091.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.91,0.07,,253.21778869628903,305.2486267089844,,-H+,-H+,,C16 H29 O2,C20 H33 O2,,C44 H80 O8 N1 P1
PC 16:0_20:4,PC,840.5771663777455,,C46 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,968643.5,1323409.8,0.0,1075149.6,1149299.1,944700.1,935683.8,966661.0,0.0,1040368.9,1143374.7,1149574.7,MS2,FragmentA and FragmentB,[PC 16:0_20:4 +CH3COO]-,FA 16:0 (+O),FA 20:4 (+O),,1951068.2,2294005.8,0.0,1884841.8,2215393.8,2021660.9,1833034.7,1893548.0,0.0,2187325.0,2164462.4,2135958.0,696268.5,955189.3,0.0,768892.6,863869.3,711848.4,668003.1,716139.3,0.0,759690.8,817957.9,810579.9,1241018.5,1691630.3,0.0,1381406.6,1434729.0,1177551.9,1203364.5,1217182.7,0.0,1321047.1,1468791.6,1488569.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.86,0.66,,255.23342895507812,303.233154296875,,-H+,-H+,,C16 H31 O2,C20 H31 O2,,C44 H80 O8 N1 P1
PC 18:2_18:2,PC,840.5771663777455,,C46 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,56474.3,98417.7,0.0,73549.8,79656.4,54491.0,60091.3,55578.0,0.0,69340.4,86541.4,64540.9,MS2,FragmentA and FragmentB,[PC 18:2_18:2 +CH3COO]-,FA 18:2 (+O),FA 18:2 (+O),,1951068.2,2294005.8,0.0,1884841.8,2215393.8,2021660.9,1833034.7,1893548.0,0.0,2187325.0,2164462.4,2135958.0,112948.7,196835.4,0.0,147099.5,159312.7,108982.0,120182.6,111155.9,0.0,138680.8,173082.9,129081.7,112948.7,196835.4,0.0,147099.5,159312.7,108982.0,120182.6,111155.9,0.0,138680.8,173082.9,129081.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.49,0.49,,279.23309326171875,279.23309326171875,,-H+,-H+,,C18 H31 O2,C18 H31 O2,,C44 H80 O8 N1 P1
PC 18:1_18:3,PC,840.5771663777455,,C46 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,41067.4,47569.4,0.0,27763.9,29671.7,27038.4,19215.7,29223.6,0.0,31623.1,42517.3,32839.0,MS2,FragmentA and FragmentB,[PC 18:1_18:3 +CH3COO]-,FA 18:1 (+O),FA 18:3 (+O),,1951068.2,2294005.8,0.0,1884841.8,2215393.8,2021660.9,1833034.7,1893548.0,0.0,2187325.0,2164462.4,2135958.0,35572.4,71013.0,0.0,40907.2,34713.1,41919.2,23833.5,45592.5,0.0,41092.8,59461.0,34125.5,46562.4,24125.7,0.0,14620.7,24630.2,12157.6,14597.9,12854.6,0.0,22153.4,25573.6,31552.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.51,0.37,,281.2487487792969,277.2174072265625,,-H+,-H+,,C18 H33 O2,C18 H29 O2,,C44 H80 O8 N1 P1
PC 14:0_22:3,PC,842.5927949910589,,C46 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,550.5,0.0,710.9,0.0,0.0,0.0,0.0,0.0,0.0,1076.1,3087.6,MS2,FragmentA and FragmentB,[PC 14:0_22:3 +CH3COO]-,FA 14:0 (+O),FA 22:3 (+O),,0.0,936094.3,0.0,687282.7,0.0,0.0,0.0,0.0,0.0,0.0,821290.0,667647.9,0.0,1102.7,0.0,700.3,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,5002.3,0.0,-1.7,0.0,721.5,0.0,0.0,0.0,0.0,0.0,0.0,630.3,1172.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.5,1.01,,227.20199584960935,333.2802429199219,,-H+,-H+,,C14 H27 O2,C22 H37 O2,,C44 H82 O8 N1 P1
PC 16:1_20:2,PC,842.5928629820369,,C46 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,15819.8,12256.5,0.0,11372.2,10887.0,17654.6,11035.4,14467.3,0.0,15271.0,18192.2,15126.2,MS2,FragmentA and FragmentB,[PC 16:1_20:2 +CH3COO]-,FA 16:1 (+O),FA 20:2 (+O),,548558.8,936094.3,0.0,687282.7,689225.7,795346.2,602390.2,699404.5,0.0,729738.2,821290.0,667647.9,23068.9,19035.7,0.0,17986.6,16861.8,28059.2,16290.5,24958.6,0.0,24468.4,31813.1,23478.1,8570.6,5477.3,0.0,4757.7,4912.2,7250.1,5780.2,3976.0,0.0,6073.6,4571.3,6774.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.79,-1.01,,253.21775817871097,307.2639465332031,,-H+,-H+,,C16 H29 O2,C20 H35 O2,,C44 H82 O8 N1 P1
PC 16:0_20:3,PC,842.5928629820369,,C46 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,299935.4,283208.3,0.0,324204.8,270760.9,301447.3,247982.7,321887.8,0.0,345433.9,327986.8,375635.0,MS2,FragmentA and FragmentB,[PC 16:0_20:3 +CH3COO]-,FA 16:0 (+O),FA 20:3 (+O),,548558.8,936094.3,0.0,687282.7,689225.7,795346.2,602390.2,699404.5,0.0,729738.2,821290.0,667647.9,352277.6,247639.5,0.0,344453.7,286176.8,350177.5,264828.1,365533.3,0.0,380509.8,372584.3,454090.5,247593.3,318777.1,0.0,303956.0,255345.0,252717.1,231137.3,278242.4,0.0,310357.9,283389.3,297179.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.8,0.17,,255.23341369628903,305.2486572265625,,-H+,-H+,,C16 H31 O2,C20 H33 O2,,C44 H82 O8 N1 P1
PC 18:1_18:2,PC,842.5928629820369,,C46 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,551117.9,404653.9,0.0,311564.5,440161.0,312803.7,305442.1,320632.3,0.0,385402.3,459876.0,482295.0,MS2,FragmentA and FragmentB,[PC 18:1_18:2 +CH3COO]-,FA 18:1 (+O),FA 18:2 (+O),,548558.8,936094.3,0.0,687282.7,689225.7,795346.2,602390.2,699404.5,0.0,729738.2,821290.0,667647.9,224510.7,355081.4,0.0,256627.1,260221.6,253918.2,209561.2,266797.4,0.0,248165.1,326186.3,290899.4,877725.1,454226.4,0.0,366501.9,620100.5,371689.2,401322.9,374467.2,0.0,522639.5,593565.7,673690.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.29,0.49,,281.2486877441406,279.23309326171875,,-H+,-H+,,C18 H33 O2,C18 H31 O2,,C44 H82 O8 N1 P1
PC 18:0_18:3,PC,842.5928629820369,,C46 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,26065.6,10619.7,0.0,19833.1,19822.5,21832.8,19733.0,29117.5,0.0,21735.5,27085.0,30164.2,MS2,FragmentA and FragmentB,[PC 18:0_18:3 +CH3COO]-,FA 18:0 (+O),FA 18:3 (+O),,548558.8,936094.3,0.0,687282.7,689225.7,795346.2,602390.2,699404.5,0.0,729738.2,821290.0,667647.9,34585.7,-1.7,0.0,25797.8,29792.1,25988.5,28008.4,34946.6,0.0,32708.1,32933.9,37677.5,17545.4,21241.1,0.0,13868.4,9852.8,17677.1,11457.6,23288.4,0.0,10763.0,21236.1,22650.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.09,0.48,,283.2642822265625,277.2174377441406,,-H+,-H+,,C18 H35 O2,C18 H29 O2,,C44 H82 O8 N1 P1
PC 14:1_22:1,PC,844.6084561986727,,C46 H87 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,5660.8,0.0,0.0,0.0,6052.7,0.0,2842.1,0.0,0.0,0.0,1048.3,MS2,FragmentA and FragmentB,[PC 14:1_22:1 +CH3COO]-,FA 14:1 (+O),FA 22:1 (+O),,0.0,1239090.4,0.0,0.0,0.0,1020355.3,0.0,860360.3,0.0,0.0,0.0,853779.7,0.0,1743.6,0.0,0.0,0.0,2323.0,0.0,1507.1,0.0,0.0,0.0,2098.3,0.0,9577.9,0.0,0.0,0.0,9782.3,0.0,4177.1,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.61,1.58,,225.18614196777344,337.3117370605469,,-H+,-H+,,C14 H25 O2,C22 H41 O2,,C44 H84 O8 N1 P1
