LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PC 16:0_17:0,PC,806.5927303044824,,C43 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,49676.9,0.0,47213.1,0.0,0.0,0.0,125861.3,0.0,0.0,86411.8,57311.9,125295.6,MS2,FragmentA and FragmentB,[PC 16:0_17:0 +CH3COO]-,FA 16:0 (+O),FA 17:0 (+O),,17056.5,0.0,33236.8,0.0,0.0,0.0,10426.0,0.0,0.0,-1.7,25512.6,27993.2,55442.2,0.0,44599.1,0.0,0.0,0.0,199566.8,0.0,0.0,121537.1,50889.5,202810.5,43911.7,0.0,49827.2,0.0,0.0,0.0,52155.8,0.0,0.0,51286.5,63734.3,47780.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.56,0.42,,255.2333526611328,269.24871826171875,,-H+,-H+,,C16 H31 O2,C17 H33 O2,,C41 H82 O8 N1 P1
PC 16:2_18:2,PC,812.5454204900412,,C44 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,0.0,0.0,5687.4,0.0,11738.3,0.0,0.0,0.0,0.0,17225.3,MS2,FragmentA and FragmentB,[PC 16:2_18:2 +CH3COO]-,FA 16:2 (+O),FA 18:2 (+O),,0.0,0.0,0.0,0.0,1983858.7,0.0,1488359.5,0.0,0.0,0.0,0.0,1726044.0,0.0,0.0,0.0,0.0,1072.3,0.0,1797.0,0.0,0.0,0.0,0.0,3085.1,0.0,0.0,0.0,0.0,10302.5,0.0,21679.5,0.0,0.0,0.0,0.0,31365.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.42,0.71,,251.20201110839844,279.233154296875,,-H+,-H+,,C16 H27 O2,C18 H31 O2,,C42 H76 O8 N1 P1
PC 14:0_20:4,PC,812.5455490624408,,C44 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,5222.1,6018.8,6912.0,0.0,4119.1,0.0,5106.4,5012.1,4561.7,4397.1,3975.7,3117.7,MS2,FragmentA and FragmentB,[PC 14:0_20:4 +CH3COO]-,FA 14:0 (+O),FA 20:4 (+O),,2122939.3,1440523.2,2251265.6,0.0,1983858.7,0.0,1488359.5,1933100.3,2029936.7,2198685.3,1538822.4,1726044.0,10445.8,12039.3,13825.6,0.0,8239.8,0.0,8268.6,10026.0,9125.1,8795.9,7953.1,6237.0,-1.7,-1.7,-1.7,0.0,-1.7,0.0,1944.3,-1.7,-1.7,-1.7,-1.7,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.04,0.56,,227.20211791992188,303.2331237792969,,-H+,-H+,,C14 H27 O2,C20 H31 O2,,C42 H76 O8 N1 P1
PC 16:1_18:3,PC,812.5455490624408,,C44 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,3443.1,5684.1,3980.7,0.0,4125.4,0.0,3610.2,5076.5,4756.3,5544.3,1800.4,4737.8,MS2,FragmentA and FragmentB,[PC 16:1_18:3 +CH3COO]-,FA 16:1 (+O),FA 18:3 (+O),,2122939.3,1440523.2,2251265.6,0.0,1983858.7,0.0,1488359.5,1933100.3,2029936.7,2198685.3,1538822.4,1726044.0,4630.1,8041.8,7963.1,0.0,4994.0,0.0,5322.6,7681.0,4449.6,7325.1,2387.1,6800.3,2256.1,3326.5,-1.7,0.0,3256.8,0.0,1897.8,2471.9,5063.0,3763.4,1213.7,2675.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.25,-0.51,,253.21762084960932,277.2171630859375,,-H+,-H+,,C16 H29 O2,C18 H29 O2,,C42 H76 O8 N1 P1
PC 14:0_20:3,PC,814.5612274962849,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,13060.0,9638.7,9447.2,0.0,10176.7,0.0,8967.3,6984.3,5932.3,8717.3,7955.3,5089.6,MS2,FragmentA and FragmentB,[PC 14:0_20:3 +CH3COO]-,FA 14:0 (+O),FA 20:3 (+O),,581317.9,398093.6,639864.0,0.0,579675.9,0.0,450799.2,527843.4,596636.1,591253.9,498921.4,537215.6,12344.7,12677.6,11766.0,0.0,12036.2,0.0,9898.1,7702.6,9057.7,11294.6,11416.0,7607.1,13775.2,6599.7,7128.4,0.0,8317.2,0.0,8036.5,6266.0,2806.8,6140.0,4494.5,2572.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.57,0.37,,227.20201110839844,305.24871826171875,,-H+,-H+,,C14 H27 O2,C20 H33 O2,,C42 H78 O8 N1 P1
PC 16:1_18:2,PC,814.5612274962849,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,106392.1,107256.7,155871.1,0.0,120658.5,0.0,119441.8,120284.7,137586.7,123864.0,96031.8,128209.9,MS2,FragmentA and FragmentB,[PC 16:1_18:2 +CH3COO]-,FA 16:1 (+O),FA 18:2 (+O),,581317.9,398093.6,639864.0,0.0,579675.9,0.0,450799.2,527843.4,596636.1,591253.9,498921.4,537215.6,81576.2,75420.5,114138.1,0.0,99248.4,0.0,88628.5,101706.9,88610.1,86215.0,64612.4,84263.7,131207.9,139092.8,197604.1,0.0,142068.6,0.0,150255.1,138862.6,186563.3,161513.1,127451.3,172156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.67,0.39,,253.2177276611328,279.2330627441406,,-H+,-H+,,C16 H29 O2,C18 H31 O2,,C42 H78 O8 N1 P1
PC 16:0_18:3,PC,814.5612274962849,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,65331.3,59514.2,92271.4,0.0,62010.4,0.0,61136.2,63241.1,76900.8,77149.2,64057.6,72412.0,MS2,FragmentA and FragmentB,[PC 16:0_18:3 +CH3COO]-,FA 16:0 (+O),FA 18:3 (+O),,581317.9,398093.6,639864.0,0.0,579675.9,0.0,450799.2,527843.4,596636.1,591253.9,498921.4,537215.6,53023.9,59391.7,78525.4,0.0,52349.7,0.0,60288.5,58049.2,70691.2,65659.5,53197.8,69898.7,77638.7,59636.8,106017.4,0.0,71671.1,0.0,61983.8,68433.0,83110.3,88639.0,74917.3,74925.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.68,0.37,,255.2333831787109,277.2174072265625,,-H+,-H+,,C16 H31 O2,C18 H29 O2,,C42 H78 O8 N1 P1
PC 14:1_20:1,PC,816.5767378361095,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,0.0,0.0,22362.8,0.0,0.0,25775.1,28342.9,0.0,14822.0,0.0,MS2,FragmentA and FragmentB,[PC 14:1_20:1 +CH3COO]-,FA 14:1 (+O),FA 20:1 (+O),,0.0,0.0,0.0,0.0,2132463.3,0.0,0.0,2030037.9,2348825.1,0.0,2067913.1,0.0,0.0,0.0,0.0,0.0,1291.1,0.0,0.0,1202.0,1699.9,0.0,936.8,0.0,0.0,0.0,0.0,0.0,43434.6,0.0,0.0,50348.3,54985.8,0.0,28707.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.68,0.6,,225.1861572265625,309.28009033203125,,-H+,-H+,,C14 H25 O2,C20 H37 O2,,C42 H80 O8 N1 P1
PC 17:1_17:1,PC,816.5767421316211,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,476.8,0.0,625.8,0.0,936.0,0.0,0.0,0.0,0.0,0.0,MS2,FragmentA and FragmentB,[PC 17:1_17:1 +CH3COO]-,FA 17:1 (+O),FA 17:1 (+O),,0.0,0.0,2791837.6,0.0,2132463.3,0.0,2312907.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.7,0.0,1251.6,0.0,1872.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.7,0.0,1251.6,0.0,1872.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.06,0.06,,267.23297119140625,267.23297119140625,,-H+,-H+,,C17 H31 O2,C17 H31 O2,,C42 H80 O8 N1 P1
PC 14:0_20:2,PC,816.5768762305893,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,1302.5,1038.9,3335.6,0.0,1232.7,0.0,2644.4,4216.9,3780.0,655.7,3688.1,953.3,MS2,FragmentA and FragmentB,[PC 14:0_20:2 +CH3COO]-,FA 14:0 (+O),FA 20:2 (+O),,2418487.0,1864404.5,2791837.6,0.0,2132463.3,0.0,2312907.2,2030037.9,2348825.1,2839931.1,2067913.1,2769916.4,1490.0,318.6,3117.9,0.0,1247.7,0.0,5290.4,3580.0,3934.3,1313.1,4148.5,1908.3,1115.0,1759.2,3553.4,0.0,1217.7,0.0,-1.7,4853.8,3625.8,-1.7,3227.6,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.5,-0.31,,227.20199584960932,307.26416015625,,-H+,-H+,,C14 H27 O2,C20 H35 O2,,C42 H80 O8 N1 P1
PC 16:1_18:1,PC,816.5768762305893,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,129840.0,273981.7,264912.6,0.0,231161.3,0.0,174472.6,231701.3,310932.6,191623.3,243408.8,240461.9,MS2,FragmentA and FragmentB,[PC 16:1_18:1 +CH3COO]-,FA 16:1 (+O),FA 18:1 (+O),,2418487.0,1864404.5,2791837.6,0.0,2132463.3,0.0,2312907.2,2030037.9,2348825.1,2839931.1,2067913.1,2769916.4,105404.6,364211.8,220090.3,0.0,203423.3,0.0,171627.2,205296.7,320936.9,205860.6,275477.9,271907.7,154275.4,183751.7,309734.9,0.0,258899.4,0.0,177318.0,258105.9,300928.3,177386.1,211339.7,209016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.85,0.08,,253.2177734375,281.2486267089844,,-H+,-H+,,C16 H29 O2,C18 H33 O2,,C42 H80 O8 N1 P1
PC 16:0_18:2,PC,816.5768762305893,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,1692212.4,1308980.5,2034837.7,0.0,1465733.0,0.0,1665129.7,1472378.4,1874311.6,2128042.9,1571563.5,1988699.6,MS2,FragmentA and FragmentB,[PC 16:0_18:2 +CH3COO]-,FA 16:0 (+O),FA 18:2 (+O),,2418487.0,1864404.5,2791837.6,0.0,2132463.3,0.0,2312907.2,2030037.9,2348825.1,2839931.1,2067913.1,2769916.4,1028950.8,798738.8,1197269.2,0.0,883585.0,0.0,1054136.2,898036.8,1096170.0,1288971.5,960736.5,1243896.6,2355473.9,1819222.2,2872406.2,0.0,2047881.0,0.0,2276123.2,2046719.9,2652453.2,2967114.3,2182390.6,2733502.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.74,0.39,,255.2333984375,279.2330627441406,,-H+,-H+,,C16 H31 O2,C18 H31 O2,,C42 H80 O8 N1 P1
PC 14:0_20:1,PC,818.59252451009,,C44 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,3194.7,2900.1,10335.5,0.0,13054.3,0.0,5022.0,0.0,7275.8,0.0,3140.4,0.0,MS2,FragmentA and FragmentB,[PC 14:0_20:1 +CH3COO]-,FA 14:0 (+O),FA 20:1 (+O),,2531582.3,2539090.8,3691458.4,0.0,3453282.4,0.0,2582577.6,0.0,3162492.1,0.0,2872839.6,0.0,3208.3,4121.7,14270.9,0.0,20014.4,0.0,5539.6,0.0,13425.4,0.0,3637.9,0.0,3181.2,1678.5,6400.1,0.0,6094.2,0.0,4504.4,0.0,1126.2,0.0,2642.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.03,-0.29,,227.201889038086,309.2798156738281,,-H+,-H+,,C14 H27 O2,C20 H37 O2,,C42 H82 O8 N1 P1
PC 16:0_18:1,PC,818.59252451009,,C44 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,2351993.2,3253123.7,3621664.3,0.0,2847141.3,0.0,2210589.9,2931939.5,3193626.3,2956735.1,2827908.0,2713192.5,MS2,FragmentA and FragmentB,[PC 16:0_18:1 +CH3COO]-,FA 16:0 (+O),FA 18:1 (+O),,2531582.3,2539090.8,3691458.4,0.0,3453282.4,0.0,2582577.6,3163860.2,3162492.1,2854017.8,2872839.6,3130149.4,1648370.0,3143792.6,2319258.1,0.0,1873366.5,0.0,1707695.2,1958341.0,2363931.8,2301375.0,2317259.2,2349414.1,3055616.4,3362454.7,4924070.5,0.0,3820916.2,0.0,2713484.6,3905537.9,4023320.8,3612095.2,3338556.9,3076971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.68,0.18,,255.2333831787109,281.2486572265625,,-H+,-H+,,C16 H31 O2,C18 H33 O2,,C42 H82 O8 N1 P1
PC 14:0_20:0,PC,820.607820650837,,C44 H87 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,659.4,0.0,0.0,0.0,0.0,454.3,391.0,0.0,519.2,0.0,MS2,FragmentA and FragmentB,[PC 14:0_20:0 +CH3COO]-,FA 14:0 (+O),FA 20:0 (+O),,0.0,0.0,309893.4,0.0,0.0,0.0,0.0,219917.9,266886.9,0.0,256102.8,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,-1.7,-1.7,0.0,-1.7,0.0,0.0,0.0,1320.4,0.0,0.0,0.0,0.0,910.2,783.6,0.0,1040.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.5,1.89,,227.20199584960932,311.296142578125,,-H+,-H+,,C14 H27 O2,C20 H39 O2,,C42 H84 O8 N1 P1
PC 16:0_18:0,PC,820.6081744294125,,C44 H87 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,283326.4,335457.5,357842.6,0.0,254348.4,0.0,279419.6,231820.7,276516.7,350395.2,301087.9,270133.9,MS2,FragmentA and FragmentB,[PC 16:0_18:0 +CH3COO]-,FA 16:0 (+O),FA 18:0 (+O),,243459.9,227314.4,309893.4,0.0,245889.7,0.0,241706.1,219917.9,266886.9,275637.3,256102.8,284922.5,263398.5,244277.4,268590.2,0.0,153747.4,0.0,268398.1,158911.0,191558.9,319762.9,155706.6,239214.9,303254.2,426637.5,447094.9,0.0,354949.5,0.0,290441.0,304730.3,361474.6,381027.4,446469.2,301053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.62,-0.34,,255.23336791992188,283.26416015625,,-H+,-H+,,C16 H31 O2,C18 H35 O2,,C42 H84 O8 N1 P1
PC 17:0_17:0,PC,820.6081744294125,,C44 H87 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,7239.6,5990.9,6810.1,0.0,4191.6,0.0,7617.1,4141.6,5337.5,8560.9,5006.5,6938.8,MS2,FragmentA and FragmentB,[PC 17:0_17:0 +CH3COO]-,FA 17:0 (+O),FA 17:0 (+O),,243459.9,227314.4,309893.4,0.0,245889.7,0.0,241706.1,219917.9,266886.9,275637.3,256102.8,284922.5,14479.1,11981.8,13620.1,0.0,8383.2,0.0,15234.1,8283.3,10675.1,17121.8,10013.0,13877.7,14479.1,11981.8,13620.1,0.0,8383.2,0.0,15234.1,8283.3,10675.1,17121.8,10013.0,13877.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.31,0.31,,269.2486877441406,269.2486877441406,,-H+,-H+,,C17 H33 O2,C17 H33 O2,,C42 H84 O8 N1 P1
PC 15:0_20:5,PC,824.5454777850164,,C45 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,1739.4,0.0,0.0,0.0,0.0,0.0,1976.5,0.0,0.0,1646.2,0.0,0.0,MS2,FragmentA and FragmentB,[PC 15:0_20:5 +CH3COO]-,FA 15:0 (+O),FA 20:5 (+O),,120770.2,0.0,0.0,0.0,0.0,0.0,100096.8,0.0,0.0,161201.3,0.0,0.0,2458.8,0.0,0.0,0.0,0.0,0.0,2115.4,0.0,0.0,1784.2,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,1837.6,0.0,0.0,1508.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.5,0.95,,241.21766662597656,301.21759033203125,,-H+,-H+,,C15 H29 O2,C20 H29 O2,,C43 H76 O8 N1 P1
PC 15:0_20:4,PC,826.5611509974418,,C45 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,54146.8,0.0,56297.1,0.0,0.0,0.0,0.0,0.0,0.0,50097.4,0.0,0.0,MS2,FragmentA and FragmentB,[PC 15:0_20:4 +CH3COO]-,FA 15:0 (+O),FA 20:4 (+O),,19093.0,0.0,10091.2,0.0,0.0,0.0,0.0,0.0,0.0,18013.6,0.0,0.0,4199.5,0.0,6656.1,0.0,0.0,0.0,0.0,0.0,0.0,6556.7,0.0,0.0,104094.2,0.0,105938.1,0.0,0.0,0.0,0.0,0.0,0.0,93638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.62,0.35,,241.2176971435547,303.2330627441406,,-H+,-H+,,C15 H29 O2,C20 H31 O2,,C43 H78 O8 N1 P1
PC 15:0_20:2,PC,830.5927266366494,,C45 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,5433.3,0.0,5226.7,0.0,0.0,0.0,0.0,0.0,5806.4,3782.8,0.0,2832.1,MS2,FragmentA and FragmentB,[PC 15:0_20:2 +CH3COO]-,FA 15:0 (+O),FA 20:2 (+O),,45424.4,0.0,49843.5,0.0,0.0,0.0,0.0,0.0,54795.2,59881.4,0.0,33159.6,-1.0,0.0,-1.7,0.0,0.0,0.0,0.0,0.0,-1.7,-1.0,0.0,-1.0,10867.5,0.0,10455.1,0.0,0.0,0.0,0.0,0.0,11614.4,7566.7,0.0,5665.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.75,-0.11,,241.2177276611328,307.26422119140625,,-H+,-H+,,C15 H29 O2,C20 H35 O2,,C43 H82 O8 N1 P1
PC 16:0_19:2,PC,830.5927266366494,,C45 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,19043.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12061.2,0.0,30051.0,MS2,FragmentA and FragmentB,[PC 16:0_19:2 +CH3COO]-,FA 16:0 (+O),FA 19:2 (+O),,45424.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59881.4,0.0,33159.6,36884.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22378.3,0.0,58992.4,1202.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.1,0.0,1109.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.8,1.01,,255.23341369628903,293.2489013671875,,-H+,-H+,,C16 H31 O2,C19 H33 O2,,C43 H82 O8 N1 P1
PC 17:1_18:1,PC,830.5927266366494,,C45 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,21048.2,0.0,41387.9,0.0,0.0,0.0,0.0,0.0,41933.8,12687.7,0.0,12156.2,MS2,FragmentA and FragmentB,[PC 17:1_18:1 +CH3COO]-,FA 17:1 (+O),FA 18:1 (+O),,45424.4,0.0,49843.5,0.0,0.0,0.0,0.0,0.0,54795.2,59881.4,0.0,33159.6,1541.0,0.0,6451.5,0.0,0.0,0.0,0.0,0.0,8720.7,-1.0,0.0,9077.4,40555.4,0.0,76324.3,0.0,0.0,0.0,0.0,0.0,75146.9,25376.4,0.0,15234.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.86,0.51,,267.2331848144531,281.2487487792969,,-H+,-H+,,C17 H31 O2,C18 H33 O2,,C43 H82 O8 N1 P1
PC 17:0_18:2,PC,830.5927266366494,,C45 H85 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,30086.4,0.0,48924.6,0.0,0.0,0.0,0.0,0.0,36665.9,30497.3,0.0,14531.0,MS2,FragmentA and FragmentB,[PC 17:0_18:2 +CH3COO]-,FA 17:0 (+O),FA 18:2 (+O),,45424.4,0.0,49843.5,0.0,0.0,0.0,0.0,0.0,54795.2,59881.4,0.0,33159.6,9115.1,0.0,16008.0,0.0,0.0,0.0,0.0,0.0,6811.5,10740.1,0.0,11817.0,51057.6,0.0,81841.2,0.0,0.0,0.0,0.0,0.0,66520.3,50254.6,0.0,17244.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.42,0.39,,269.24871826171875,279.2330627441406,,-H+,-H+,,C17 H33 O2,C18 H31 O2,,C43 H82 O8 N1 P1
PC 16:3_20:4,PC,834.5299352247678,,C46 H77 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,872.1,0.0,1130.9,0.0,1394.6,763.2,0.0,1829.1,823.3,3128.6,MS2,FragmentA and FragmentB,[PC 16:3_20:4 +CH3COO]-,FA 16:3 (+O),FA 20:4 (+O),,0.0,0.0,2469821.9,0.0,1942552.2,0.0,1836570.2,1883727.5,0.0,2701783.6,2000661.9,2130077.8,0.0,0.0,1746.0,0.0,2263.6,0.0,1337.2,1528.0,0.0,3659.9,1648.3,4306.2,0.0,0.0,-1.7,0.0,-1.7,0.0,1451.9,-1.7,0.0,-1.7,-1.7,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2.39,0.25,,249.1865997314453,303.2330322265625,,-H+,-H+,,C16 H25 O2,C20 H31 O2,,C44 H74 O8 N1 P1
PC 14:0_22:6,PC,836.5460740494103,,C46 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,701.0,1147.6,3193.7,0.0,2193.8,0.0,2549.9,1040.3,2319.6,2528.3,2431.0,2605.9,MS2,FragmentA and FragmentB,[PC 14:0_22:6 +CH3COO]-,FA 14:0 (+O),FA 22:6 (+O),,1818060.3,1501312.0,2130426.3,0.0,1793111.7,0.0,1306731.8,1691648.8,1810966.9,1831816.9,1686655.5,1577210.9,1403.7,2297.0,4312.3,0.0,4389.3,0.0,5101.6,2082.4,4641.0,5058.4,4863.8,5213.5,-1.7,-1.7,2075.0,0.0,-1.7,0.0,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,3.25,1.17,,227.202392578125,327.2333374023437,,-H+,-H+,,C14 H27 O2,C22 H31 O2,,C44 H76 O8 N1 P1
PC 16:2_20:4,PC,836.5460740494103,,C46 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,19048.8,0.0,15216.9,0.0,0.0,0.0,18218.6,9672.6,13722.7,21098.4,0.0,0.0,MS2,FragmentA and FragmentB,[PC 16:2_20:4 +CH3COO]-,FA 16:2 (+O),FA 20:4 (+O),,1818060.3,0.0,2130426.3,0.0,0.0,0.0,1306731.8,1691648.8,1810966.9,1831816.9,0.0,0.0,1275.5,0.0,1065.8,0.0,0.0,0.0,1200.5,1878.3,1533.4,4425.0,0.0,0.0,36822.1,0.0,29368.0,0.0,0.0,0.0,35236.7,17466.9,25912.0,37771.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.75,0.25,,251.20184326171875,303.2330322265625,,-H+,-H+,,C16 H27 O2,C20 H31 O2,,C44 H76 O8 N1 P1
