LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
Cer 42:2;(OH)2,Cer,706.6362436968292,,C44 H84 O5 N1,,+CH3COO-,Sphingolipid,negative,2890887.8,2790879.8,2675887.0,0.0,2209305.6,0.0,2424009.4,2115134.8,2523252.2,3306198.2,2684825.4,2679985.2,MS1,Precursor,[Cer 42:2;(OH)2(+CH3COO)-],,,,2890887.8,2790879.8,2675887.0,0.0,2209305.6,0.0,2424009.4,2115134.8,2523252.2,3306198.2,2684825.4,2679985.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,,,,,,,,,,,,,C42 H81 O3 N1
Cer 42:1;(OH)2,Cer,708.6519137304751,,C44 H86 O5 N1,,+CH3COO-,Sphingolipid,negative,1579004.9,1439757.5,1366791.1,0.0,1096930.8,0.0,1382512.4,1048888.2,1254127.5,1843031.3,1376819.3,1579003.9,MS1,Precursor,[Cer 42:1;(OH)2(+CH3COO)-],,,,1579004.9,1439757.5,1366791.1,0.0,1096930.8,0.0,1382512.4,1048888.2,1254127.5,1843031.3,1376819.3,1579003.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,,,,,,,,,,,,,C42 H83 O3 N1
Cer 42:0;(OH)2,Cer,710.667069043624,,C44 H88 O5 N1,,+CH3COO-,Sphingolipid,negative,19967.5,0.0,0.0,0.0,0.0,0.0,50358.9,0.0,0.0,36762.9,0.0,45846.1,MS1,Precursor,[Cer 42:0;(OH)2(+CH3COO)-],,,,19967.5,0.0,0.0,0.0,0.0,0.0,50358.9,0.0,0.0,36762.9,0.0,45846.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,,,,,,,,,,,,,C42 H85 O3 N1
Cer 43:1;(OH)2,Cer,722.6676612944176,,C45 H88 O5 N1,,+CH3COO-,Sphingolipid,negative,22519.9,0.0,0.0,0.0,0.0,0.0,19424.8,0.0,0.0,23580.1,0.0,0.0,MS1,Precursor,[Cer 43:1;(OH)2(+CH3COO)-],,,,22519.9,0.0,0.0,0.0,0.0,0.0,19424.8,0.0,0.0,23580.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,,,,,,,,,,,,,C43 H85 O3 N1
Cer 42:1;(OH)3,Cer,724.646823160029,,C44 H86 O6 N1,,+CH3COO-,Sphingolipid,negative,45867.2,0.0,0.0,0.0,32043.0,0.0,19044.7,32055.4,29893.8,48482.7,0.0,46063.1,MS1,Precursor,[Cer 42:1;(OH)3(+CH3COO)-],,,,45867.2,0.0,0.0,0.0,32043.0,0.0,19044.7,32055.4,29893.8,48482.7,0.0,46063.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,,,,,,,,,,,,,C42 H83 O4 N1
Cer 44:3;(OH)2,Cer,732.6511236700179,,C46 H86 O5 N1,,+CH3COO-,Sphingolipid,negative,82404.9,99841.7,139157.7,76951.4,89132.9,65759.6,54056.8,110578.5,123881.4,102450.4,140295.0,68186.0,MS1,Precursor,[Cer 44:3;(OH)2(+CH3COO)-],,,,82404.9,99841.7,139157.7,76951.4,89132.9,65759.6,54056.8,110578.5,123881.4,102450.4,140295.0,68186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,,,,,,,,,,,,,C44 H83 O3 N1
Cer 44:2;(OH)2,Cer,734.6675659135515,,C46 H88 O5 N1,,+CH3COO-,Sphingolipid,negative,18545.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5095.8,0.0,9340.0,MS1,Precursor,[Cer 44:2;(OH)2(+CH3COO)-],,,,18545.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5095.8,0.0,9340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,,,,,,,,,,,,,C44 H85 O3 N1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC 14:0,LPC,526.3156331558424,,C24 H49 O9 N1 P1,,+CH3COO-,Glycerophospholipid,negative,88390.6,82946.4,0.0,0.0,0.0,0.0,55480.3,0.0,0.0,94090.4,0.0,61705.9,MS2,FragmentA,[LPC 14:0 +CH3COO]-,FA 14:0 (+O),-PC(74),,42605.6,34200.4,0.0,0.0,0.0,0.0,22273.2,0.0,0.0,54061.7,0.0,22726.2,88390.6,82946.4,0.0,0.0,0.0,0.0,55480.3,0.0,0.0,94090.4,0.0,61705.9,14926.3,9446.3,0.0,0.0,0.0,0.0,8385.7,0.0,0.0,11584.6,0.0,8326.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.16,836302.75,,227.2019195556641,452.2786865234375,,-H+,-H+,,C14 H27 O2,C21 H43 O7 N1 P1,,C22 H46 O7 N1 P1
LPC 16:1,LPC,552.3307454559991,,C26 H51 O9 N1 P1,,+CH3COO-,Glycerophospholipid,negative,470410.6,410514.3,366646.6,0.0,349785.8,0.0,306409.2,295230.8,368887.8,524418.2,420079.3,371793.5,MS2,FragmentA,[LPC 16:1 +CH3COO]-,FA 16:1 (+O),-PC(74),,292100.0,246533.5,218325.3,0.0,196355.6,0.0,230918.9,181203.3,219291.3,324842.1,279684.6,226414.8,470410.6,410514.3,366646.6,0.0,349785.8,0.0,306409.2,295230.8,368887.8,524418.2,420079.3,371793.5,20028.8,23402.0,16787.5,0.0,15050.4,0.0,19110.1,14321.0,16731.4,25780.1,24506.1,17854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.37,845206.69,,253.2176513671875,478.29443359375,,-H+,-H+,,C16 H29 O2,C23 H45 O7 N1 P1,,C24 H48 O7 N1 P1
