LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PC 16:1_18:3,PC,812.5453996594546,,C44 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,9507.7,10077.9,8060.2,9495.9,5158.2,6999.7,4458.5,7118.1,4193.6,6387.1,MS2,FragmentA and FragmentB,[PC 16:1_18:3 +CH3COO]-,FA 16:1 (+O),FA 18:3 (+O),,0.0,0.0,2251265.6,2029936.7,1933100.3,1983858.7,1538822.4,1440523.2,2122939.3,2198685.3,1488359.5,1726044.0,0.0,0.0,15518.7,13723.5,12592.5,13590.9,7712.5,10672.9,6705.6,10521.9,6497.5,10092.6,0.0,0.0,3496.8,6432.3,3527.9,5400.9,2603.9,3326.5,2211.3,3714.2,1889.7,2681.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.37,-0.07,,253.2176513671875,277.21728515625,,-H+,-H+,,C16 H29 O2,C18 H29 O2,,C42 H76 O8 N1 P1
PC 16:2_18:2,PC,812.5454204900412,,C44 H79 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,0.0,0.0,0.0,4512.2,0.0,0.0,0.0,0.0,10296.4,15256.8,MS2,FragmentA and FragmentB,[PC 16:2_18:2 +CH3COO]-,FA 16:2 (+O),FA 18:2 (+O),,0.0,0.0,0.0,0.0,0.0,1983858.7,0.0,0.0,0.0,0.0,1488359.5,1726044.0,0.0,0.0,0.0,0.0,0.0,1072.3,0.0,0.0,0.0,0.0,1797.0,3085.1,0.0,0.0,0.0,0.0,0.0,7952.0,0.0,0.0,0.0,0.0,18795.8,27428.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.42,0.71,,251.20201110839844,279.233154296875,,-H+,-H+,,C16 H27 O2,C18 H31 O2,,C42 H76 O8 N1 P1
PC 14:0_20:3,PC,814.5611189108566,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,9377.7,5892.3,6925.1,10073.1,7898.8,9637.5,13007.3,8702.9,8967.0,5081.2,MS2,FragmentA and FragmentB,[PC 14:0_20:3 +CH3COO]-,FA 14:0 (+O),FA 20:3 (+O),,0.0,0.0,639864.0,596636.1,527843.4,579675.9,498921.4,398093.6,581317.9,591253.9,450799.2,537215.6,0.0,0.0,11765.7,9056.6,7702.4,12035.6,11413.7,12677.6,12344.7,11293.0,9897.4,7606.2,0.0,0.0,6989.6,2728.0,6147.9,8110.5,4383.8,6597.3,13669.8,6112.8,8036.6,2556.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.1,0.27,,227.201904296875,305.2486877441406,,-H+,-H+,,C14 H27 O2,C20 H33 O2,,C42 H78 O8 N1 P1
PC 16:1_18:2,PC,814.5611189108566,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,155778.3,137441.0,120237.1,120507.1,95980.9,107220.9,106410.0,123861.7,119437.4,128191.7,MS2,FragmentA and FragmentB,[PC 16:1_18:2 +CH3COO]-,FA 16:1 (+O),FA 18:2 (+O),,0.0,0.0,639864.0,596636.1,527843.4,579675.9,498921.4,398093.6,581317.9,591253.9,450799.2,537215.6,0.0,0.0,113859.8,88269.4,101526.5,98932.4,64416.7,75323.8,81499.7,86097.2,88585.6,84142.1,0.0,0.0,197696.9,186612.6,138947.7,142081.8,127545.1,139118.1,131320.2,161626.2,150289.2,172241.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.49,0.39,,253.2176818847656,279.2330627441406,,-H+,-H+,,C16 H29 O2,C18 H31 O2,,C42 H78 O8 N1 P1
PC 16:0_18:3,PC,814.5611189108566,,C44 H81 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,91865.5,76711.2,62957.0,61698.5,63845.2,59226.5,65138.6,76919.6,60922.2,72219.3,MS2,FragmentA and FragmentB,[PC 16:0_18:3 +CH3COO]-,FA 16:0 (+O),FA 18:3 (+O),,0.0,0.0,639864.0,596636.1,527843.4,579675.9,498921.4,398093.6,581317.9,591253.9,450799.2,537215.6,0.0,0.0,77776.6,70356.1,57515.0,51795.0,52817.9,58816.3,52635.7,65197.2,59860.1,69513.2,0.0,0.0,105954.5,83066.2,68399.0,71602.0,74872.6,59636.8,77641.4,88642.0,61984.3,74925.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.68,0.26,,255.2333831787109,277.2173767089844,,-H+,-H+,,C16 H31 O2,C18 H29 O2,,C42 H78 O8 N1 P1
PC 14:0_20:2,PC,816.5767421316211,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,3335.7,3780.1,4216.9,1232.7,3688.5,1038.9,1302.5,655.8,2644.4,953.3,MS2,FragmentA and FragmentB,[PC 14:0_20:2 +CH3COO]-,FA 14:0 (+O),FA 20:2 (+O),,0.0,0.0,2791837.6,2348825.1,2030037.9,2132463.3,2067913.1,1864404.5,2418487.0,2839931.1,2312907.2,2769916.4,0.0,0.0,3117.9,3934.4,3580.1,1247.7,4148.6,318.6,1490.0,1313.2,5290.5,1908.3,0.0,0.0,3553.4,3625.8,4853.8,1217.7,3228.3,1759.2,1115.0,-1.7,-1.7,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.76,0.09,,227.2018280029297,307.2642822265625,,-H+,-H+,,C14 H27 O2,C20 H35 O2,,C42 H80 O8 N1 P1
PC 16:1_18:1,PC,816.5767421316211,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,264944.7,310930.9,231755.7,231159.8,243405.2,273978.2,129912.2,191660.6,174493.2,240488.6,MS2,FragmentA and FragmentB,[PC 16:1_18:1 +CH3COO]-,FA 16:1 (+O),FA 18:1 (+O),,0.0,0.0,2791837.6,2348825.1,2030037.9,2132463.3,2067913.1,1864404.5,2418487.0,2839931.1,2312907.2,2769916.4,0.0,0.0,220099.2,320947.7,205302.5,203433.3,275484.2,364214.8,105407.1,205864.3,171628.6,271911.6,0.0,0.0,309790.2,300914.1,258209.0,258886.2,211326.2,183741.5,154417.3,177456.8,177357.7,209065.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.85,-0.03,,253.2177734375,281.24859619140625,,-H+,-H+,,C16 H29 O2,C18 H33 O2,,C42 H80 O8 N1 P1
PC 16:0_18:2,PC,816.5767421316211,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,2034849.5,1874312.7,1472386.4,1465740.8,1571569.2,1308990.3,1692218.0,2128049.7,1665137.1,1988705.3,MS2,FragmentA and FragmentB,[PC 16:0_18:2 +CH3COO]-,FA 16:0 (+O),FA 18:2 (+O),,0.0,0.0,2791837.6,2348825.1,2030037.9,2132463.3,2067913.1,1864404.5,2418487.0,2839931.1,2312907.2,2769916.4,0.0,0.0,1197292.9,1096170.4,898053.7,883598.8,960748.6,798757.1,1028963.1,1288986.2,1054149.8,1243908.8,0.0,0.0,2872406.1,2652455.1,2046719.2,2047882.8,2182389.9,1819223.6,2355472.9,2967113.3,2276124.4,2733501.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.74,0.39,,255.2333984375,279.2330627441406,,-H+,-H+,,C16 H31 O2,C18 H31 O2,,C42 H80 O8 N1 P1
PC 17:1_17:1,PC,816.5767421316211,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,476.8,0.0,0.0,625.8,0.0,0.0,0.0,0.0,936.0,0.0,MS2,FragmentA and FragmentB,[PC 17:1_17:1 +CH3COO]-,FA 17:1 (+O),FA 17:1 (+O),,0.0,0.0,2791837.6,0.0,0.0,2132463.3,0.0,0.0,0.0,0.0,2312907.2,0.0,0.0,0.0,953.7,0.0,0.0,1251.6,0.0,0.0,0.0,0.0,1872.1,0.0,0.0,0.0,953.7,0.0,0.0,1251.6,0.0,0.0,0.0,0.0,1872.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.06,0.06,,267.23297119140625,267.23297119140625,,-H+,-H+,,C17 H31 O2,C17 H31 O2,,C42 H80 O8 N1 P1
PC 14:1_20:1,PC,816.5768320607236,,C44 H83 O10 N1 P1,,+CH3COO-,Glycerophospholipid,negative,0.0,0.0,0.0,28342.9,25775.1,22362.8,14822.0,0.0,0.0,0.0,0.0,0.0,MS2,FragmentA and FragmentB,[PC 14:1_20:1 +CH3COO]-,FA 14:1 (+O),FA 20:1 (+O),,0.0,0.0,0.0,2348825.1,2030037.9,2132463.3,2067913.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.9,1202.0,1291.1,936.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54985.8,50348.3,43434.6,28707.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,0.89,,225.1862335205078,309.2801818847656,,-H+,-H+,,C14 H25 O2,C20 H37 O2,,C42 H80 O8 N1 P1
